




Julian Date (days)   sc_1_X (km)   sc_1_Y (km)   sc_1_Z (km)   sc_1_V_X (km/s)   sc_1_V_Y (km/s)   sc_1_V_Z (km/s)
2463991.03704   132868075.10530   67322417.88426   -1108244.59318   -13.46138   26.71277   0.11228
2463991.40240   132440906.79708   68163481.77932   -1104681.60811   -13.62937   26.62698   0.11368
2463991.76777   132008449.56404   69001823.61893   -1101074.50843   -13.79680   26.54013   0.11508
2463992.13313   131570720.89713   69837410.04014   -1097423.44005   -13.96368   26.45223   0.11647
2463992.49850   131127738.49899   70670207.79425   -1093728.55061   -14.12999   26.36328   0.11786
2463992.86386   130679520.28324   71500183.74815   -1089989.98953   -14.29573   26.27328   0.11924
2463993.22923   130226084.37365   72327304.88574   -1086207.90798   -14.46089   26.18223   0.12062
2463993.59459   129767449.10338   73151538.30919   -1082382.45888   -14.62547   26.09014   0.12199
2463993.95996   129303633.01417   73972851.24037   -1078513.79688   -14.78946   25.99701   0.12336
2463994.32533   128834654.85553   74791211.02211   -1074602.07837   -14.95284   25.90285   0.12472
2463994.69069   128360533.58397   75606585.11958   -1070647.46147   -15.11563   25.80766   0.12608
2463995.05606   127881288.36212   76418941.12162   -1066650.10601   -15.27780   25.71145   0.12743
2463995.42142   127396938.55791   77228246.74201   -1062610.17353   -15.43936   25.61421   0.12878
2463995.78679   126907503.74376   78034469.82084   -1058527.82729   -15.60029   25.51595   0.13012
2463996.15215   126413003.69572   78837578.32578   -1054403.23225   -15.76059   25.41668   0.13146
2463996.51752   125913458.39259   79637540.35341   -1050236.55503   -15.92026   25.31641   0.13279
2463996.88288   125408888.01508   80434324.13050   -1046027.96397   -16.07928   25.21512   0.13412
2463997.24825   124899312.94492   81227898.01527   -1041777.62907   -16.23765   25.11284   0.13544
2463997.61361   124384753.76400   82018230.49876   -1037485.72201   -16.39537   25.00955   0.13675
2463997.97898   123865231.25344   82805290.20600   -1033152.41611   -16.55242   24.90528   0.13806
